"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"2433","the globe and mail","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print/online","line 9"
"2434","national post","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print/web","line 9"
"2435","vancouver observer","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print","line 9"
"2436","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print","line 9"
"2437","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print","line 9"
"2438","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","online","line 9"
"2439","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","tv","line 9"
"2440","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print","line 9"
"2441","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","print","line 9"
"2442","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","radio","line 9"
"2443","name removed","2014-03-06","Release of Line 9B RFD","Confirmed release timing and roll out plans.","2014-03-06","online","line 9"
"2444","reuters","2014-03-06","General info about long term license vs. short term order around LNG. ","Gave overview and explained surplus determination. ","2014-03-06","print/web","other major application"
"2445","pipeline magazine","2014-03-07","Various procedural questions. ","Gave overview of process, using Energy East as an example. ","2014-03-10","print","energy east"
"2446","pipeline magazine","2014-03-07","Info on TCPL IMP Audit","responded using approved media lines","2014-03-10","print/web","safety and environmental protection"
"2447","name removed","2014-03-10","","","2014-03-10","","line 9"
"2448","desmog canada","2014-03-10","Status of NEB review of Baffin Bay Davis Strait Seismic app, does the NEB make the final decision? Can the decision be appealed?","Decision pending. Spoke to Jessica Lim who confirmed we are the final authority under Section 5 1b of COGOA, and that an appeal of a Board Decsion could be made under Section 22 of the NEB Act","2014-03-10","online","northern application"
"2449","upstream magazine","2014-03-11","Asked if she could do a profile on Gaétan about all the changes he has seen during his career at the NEB. Profile some of the positive initiatives of the board","awaiting recommendation of SLG as to whether GC should do the interview","2014-03-26","print/web","general inquiry"
"2450","canadian press","2014-03-12","When is the decision on who will be participating in TMX going to be released?","Should be within the next month","2014-03-12","print","trans mountain"
"2451","cbc tv","2014-03-12","Submission filed by Environment Canada","Directed her to the Line 9B folder and EC submissions","2014-03-12","tv","line 9"
"2452","canadian press","2014-03-12","Status of NEB review of Baffin Bay Davis Strait Seismic app, does the NEB make the final decision? What if AANDC's review contradicts the NEB decision","Decision pending. NEB final authority under Section 5 1b of COGOA. Awaiting response from Christy about SEA process","2014-03-12","print/web","northern application"
"2453","cbc","2014-03-13","General questions about Energy East process. Confirmation of where current Line 100-4 runs in approximation to Shoal Lake. ","Gave overview of general NEB process. Gave approximate location of Line 100-4. ","2014-03-13","radio","energy east"
"2454","radio-canada","2014-03-14","Information on Pipeline incidents and what is considered reportable under the OPR","responded using approved media lines","2014-03-14","radio/tv/web","safety and environmental protection"
"2455","bloomberg news","2014-03-17","Update on Status of pressure restriction on TransMountain Pipline","responded using approved media lines","2014-03-17","print/web","safety and environmental protection"
"2456","toronto star","2014-03-19","Info on TCPL IMP Audit & Whistleblower","responded using approved media lines","2014-03-19","print/web","safety and environmental protection"
"2457","canadian press","2014-03-19","where we are in the process for IORVL and MKI seismic","don't have a formal regulatory role for IORVL at this point and pointed him to the EIRB role - he said he had a call into them and planned to write something today. 
As for the seismic I said the board was still reviewing comments and what it heard from communities, and it would issue a decision.
He wanted to know if transcripts of community meetings are or would be available. I said I didn't know, but could find out. 
He also asked if there were timelines around decisions, and I said not at this time.
","2014-03-20","print/online","northern application"
"2458","carleton university student","2014-03-20","Questions about delay to MGP decision","Discussed the timeline; NEB wrapped up hearings on time; sent links to RFD and Cooperation report","2014-03-20","print","arctic"
"2459","burnaby now","2014-03-20","When is the list of intervenors being released?","In the coming weeks","2014-03-20","print","trans mountain"
"2460","ottawa citizen","2014-03-21","Various questions about the TransCanada Settlement application. ","Provided overview of application and process. ","2014-03-21","print","other major application"
"2461","argus media","2014-03-21","Will GDF Suez participate in North Montney hearing? ","No, they have not applied to participate. ","2014-03-21","print","other major application"
"2462","bloomberg news","2014-03-24","Update on Status of pressure restriction on TransMountain Pipline","responded using approved media lines","2014-03-24","print/web","safety and environmental protection"
"2463","bloomberg news","2014-03-24","Update on Status of pressure restriction on TransMountain Pipline","responded using approved media lines","2014-03-24","print/web","safety and environmental protection"
